City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,salinopolis,-0.61,-47.36,82.45,78,92,18.81,BR,1577571156
467,marzuq,14.4,46.47,56.39,26,0,2.84,YE,1577571156
468,kilindoni,-7.91,39.67,82.0,79,100,2.66,TZ,1577571156
469,vila,45.18,8.4,39.0,90,12,2.24,IT,1577570900
470,karatau,43.18,70.46,36.0,54,100,8.52,KZ,1577571156
471,key west,47.93,-96.78,28.4,100,90,7.56,US,1577571157
472,varnavino,61.19,46.56,4.68,96,14,5.17,RU,1577571157
473,hailar,49.2,119.7,-1.7,95,100,13.02,CN,1577571158
474,rantepao,-2.97,119.9,65.73,94,100,2.1,ID,1577571158
475,santa cruz cabralia,-16.28,-39.02,78.8,74,40,4.7,BR,1577571158
476,labuhan,-2.54,115.51,74.16,95,100,1.59,ID,1577571158
477,conceicao da barra,-18.59,-39.73,79.48,74,6,12.57,BR,1577571159
478,ruwi,23.6,58.55,69.8,73,0,5.82,OM,1577571159
479,mayna,53.0,91.49,-18.83,88,0,1.7,RU,1577571159
480,meulaboh,4.14,96.13,80.96,79,8,7.96,ID,1577570887
481,devonport,-41.18,146.36,70.0,75,2,5.99,AU,1577571159
482,paracuru,-3.41,-39.03,86.0,69,28,9.17,BR,1577571160
483,isiro,2.77,27.62,66.96,43,1,1.88,CD,1577571160
484,santa maria,-16.02,-48.01,84.2,48,20,12.75,BR,1577570899
485,antalaha,-14.9,50.28,80.29,81,89,9.75,MG,1577571160
486,iquitos,-3.75,-73.25,86.0,70,40,6.93,PE,1577571161
487,auki,12.18,6.51,65.75,15,0,9.75,NG,1577571161
488,andros town,24.73,-77.79,77.0,78,75,14.99,BS,1577571161
489,marovoay,-16.11,46.64,75.2,94,20,5.82,MG,1577571162
490,lewisporte,49.25,-55.06,28.4,100,90,9.17,CA,1577571162
491,riyadh,24.63,46.72,57.2,54,0,10.71,SA,1577570994
492,vardo,39.62,-77.74,60.01,62,1,3.42,US,1577571162
493,ixtapa,20.71,-105.21,73.4,73,90,5.82,MX,1577571163
494,evensk,61.92,159.24,-6.32,54,0,8.95,RU,1577570899
495,ha tinh,18.33,105.9,68.22,90,100,11.81,VN,1577570970
496,guerrero negro,27.97,-114.04,62.1,51,1,11.79,MX,1577571163
497,barentu,15.11,37.59,63.72,56,100,5.77,ER,1577571164
498,vrangel,42.73,133.08,28.44,68,100,9.8,RU,1577571164
499,shakawe,-18.36,21.84,71.67,85,81,5.95,BW,1577571164
500,tilichiki,60.47,166.1,-17.84,87,0,8.25,RU,1577571164
501,rock sound,24.9,-76.2,75.0,83,64,23.0,BS,1577571164
502,caravelas,-17.73,-39.27,77.4,76,18,8.77,BR,1577571165
503,sirjan,29.44,55.67,45.07,44,0,6.51,IR,1577571165
504,vila franca do campo,37.72,-25.43,60.8,100,75,14.99,PT,1577570949
505,ukiah,39.15,-123.21,61.0,43,1,3.36,US,1577571165
506,benghazi,32.12,20.07,60.48,54,94,8.77,LY,1577571026
507,tocopilla,-22.09,-70.2,76.23,19,4,8.77,CL,1577571166
508,orange cove,36.62,-119.31,57.99,58,1,0.92,US,1577571166
509,teruel,40.34,-1.11,44.6,74,1,4.7,ES,1577571166
510,vinh,18.67,105.69,64.31,92,98,1.7,VN,1577571166
511,monsenhor gil,-5.56,-42.61,96.8,32,98,5.82,BR,1577571167
512,marawi,8.0,124.29,69.01,88,4,8.01,PH,1577571167
513,sinnamary,5.38,-52.96,79.97,82,88,18.45,GF,1577571168
514,kempsey,-31.08,152.84,80.01,55,1,3.0,AU,1577571168
515,namwala,-15.75,26.45,68.74,91,55,2.93,ZM,1577571169
516,baherden,38.44,57.43,45.45,82,93,1.25,TM,1577571169
